product_name,ratings,prices,Operating System,Warranty,picture_quality
MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,4.2,"₹5,999",HD Ready 1366 x 768 Pixels,None,1 Year Warranty
TOSHIBA V35KP 108 cm (43 inch) Full HD LED Smart Android TV with DTS Virtual X (2022 Model),4.3,"₹21,999",Operating System: Android,2 Years Comprehensive Warranty,Full HD 1920 x 1080 Pixels
acer 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,4.6,"₹35,999",Operating System: Android,3 Year Warranty on Product,Ultra HD (4K) 3840 × 2160 Pixels
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV Get Frame TV Bezel Worth Rs. 8.98...,4.3,"₹86,990",Operating System: Tizen,1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel,Ultra HD (4K) 3840 x 2160 Pixels
Thomson OATHPRO Max 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,4.5,"₹30,999",Operating System: Android,1 Year Warranty on Product and 6 Months on Accessories,Ultra HD (4K) 3840 x 2160 Pixels
"acer I Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Android 11, 30W Dolby Audio, ME...",4.4,"₹32,999",Operating System: Android,2 Years Warranty,Ultra HD (4K) 3840 x 2160 Pixels
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.4,"₹9,999",Operating System: Android,1 Year Warranty on Product & 6 Months on Accessories,HD Ready 1366 x 768 Pixels
"SAMSUNG The Frame 108 cm (43 inch) QLED Ultra HD (4K) Smart Tizen TV Get Frame TV Bezel Worth Rs. 6,88...",4.3,"₹54,990",Operating System: Tizen,1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel,Ultra HD (4K) 3840 x 2160 Pixels
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,4.4,"₹47,990",Operating System: Tizen,1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel,Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels
realme 80 cm (32 inch) Full HD LED Smart Android TV,4.2,"₹15,999",Operating System: Android,1 Year Warranty on TV and 2 Years Warranty on the Display Panel,Full HD 1080 x 1920 Pixels
"Hisense 126 cm (50 inch) Ultra HD (4K) LED Smart Google TV with 102W JBL 6 Speakers, Dolby Vision and ...",4.4,"₹36,990",Operating System: Google TV,2 Years Warranty on Product and Panel,Ultra HD (4K) 3840 x 2160 Pixels
"SAMSUNG The Frame 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV Get Frame TV Bezel Worth Rs. 8,97...",4.3,"₹67,990",Operating System: Tizen,1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel,Ultra HD (4K) 3840 x 2160 Pixels
SENS 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio & Google Assistant,4.1,"₹10,999",Operating System: Android,1 Year Comprehensive Warranty on Product and Additional 1 Year Warranty on Panel,HD Ready 1280 x 720 Pixels
Coocaa 80 cm (32 inch) HD Ready LED Smart Coolita TV with Dolby Audio and Eye Care Technology,4.2,"₹9,999",Operating System: Coolita,1 Year Domestic Warranty,HD Ready 1366 x768 Pixels
SAMSUNG Crystal 4K Pro 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,4.4,"₹32,990",Operating System: Tizen,1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel,Ultra HD (4K) 3840 x 2160 Pixels
Sansui Prime Series 80 cm (32 inch) HD Ready LED Smart Android Based TV with Bezel-less Design (BLACK)...,4.4,"₹10,990",Operating System: Android Based,1 Year Comprehensive Warranty,HD Ready 1366 x 768 Pixels
SONY 138.8 cm (55 inch) Ultra HD (4K) LED Smart Google TV,4.6,"₹59,990",Operating System: Google TV,1 Year Manufacturer Warranty,Ultra HD (4K) 3840 x 2160 Pixels
"acer I Series 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Android 11, 30W Dolby Audio, ME...",4.4,"₹23,999",Operating System: Android,2 Years Warranty,Ultra HD (4K) 3840 x 2160 Pixels
SENS 109 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio & Google Assistant,4.1,"₹17,999",Operating System: Android,1 Year Comprehensive Warranty on Product and Additional 1 Year Warranty on Panel,Full HD 1920 x 1080 Pixels
"Dyanora 109 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV with HDR 10, Micro Dimming, Noise Reduction,...",4.1,"₹22,999",Operating System: WebOS,1 Year Manufacturer Warranty from the Date of Purchase.,Ultra HD (4K) 3840 x 2160 Pixels
acer 100 cm (40 inch) Full HD LED Smart Android TV,4.4,"₹18,999",Operating System: Android,1 Year Warranty,Full HD 1920 x 1080 Pixels
"acer I Series 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Android 11, 30W Dolby Audio, ME...",4.4,"₹27,999",Operating System: Android,2 Years Warranty,Ultra HD (4K) 3840 x 2160 Pixels
Thomson 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Vision & Dolby Atmos,4.6,"₹33,999",Operating System: Google TV,1 Year Warranty on Product and 6 Months Warranty on Accessories,Ultra HD (4K) 3840 x 2160 Pixels
"Dyanora 127 cm (50 inch) Ultra HD (4K) LED Smart WebOS TV with HDR 10, Micro Dimming, Noise Reduction,...",4.1,"₹28,499",Operating System: WebOS,1 Year Manufacturer Warranty from the Date of Purchase,Ultra HD (4K) 3840 x 2160 Pixels
